File	Time	Result	Ackermann	Solver
/2/foobar.txt.2	0m0,182s	unsat	Yes	Z3
/2/foobar.txt.2	0m0,019s	unsat	No	Z3
/2/foobar.txt.2	0m0,017s	unsat	Yes	cvc5
/2/foobar.txt.2	0m0,018s	unsat	No	cvc5
/2/foobar.txt.2	0m0,009s	unsat	Yes	mathSAT
/2/foobar.txt.2	0m0,010s	unsat	No	mathSAT

/2/foobar.txt.3	0m0,055s	unsat	Yes	Z3
/2/foobar.txt.3	0m0,029s	unsat	No	Z3
/2/foobar.txt.3	0m0,025s	unsat	Yes	cvc5
/2/foobar.txt.3	0m0,025s	unsat	No	cvc5
/2/foobar.txt.3	0m0,014s	unsat	Yes	mathSAT
/2/foobar.txt.3	0m0,018s	unsat	No	mathSAT

/2/foobar.txt.4	0m0,053s	unsat	Yes	Z3
/2/foobar.txt.4	0m0,027s	unsat	No	Z3
/2/foobar.txt.4	0m0,047s	unsat	Yes	cvc5
/2/foobar.txt.4	0m0,046s	unsat	No	cvc5
/2/foobar.txt.4	0m0,018s	unsat	Yes	mathSAT
/2/foobar.txt.4	0m0,018s	unsat	No	mathSAT

/2/foobar.txt.5	0m0,048s	unsat	Yes	Z3
/2/foobar.txt.5	0m0,037s	unsat	No	Z3
/2/foobar.txt.5	0m0,072s	unsat	Yes	cvc5
/2/foobar.txt.5	0m0,071s	unsat	No	cvc5
/2/foobar.txt.5	0m0,039s	unsat	Yes	mathSAT
/2/foobar.txt.5	0m0,042s	unsat	No	mathSAT

/2/foobar.txt.6	0m0,083s	unsat	Yes	Z3
/2/foobar.txt.6	0m0,052s	unsat	No	Z3
/2/foobar.txt.6	0m0,200s	unsat	Yes	cvc5
/2/foobar.txt.6	0m0,201s	unsat	No	cvc5
/2/foobar.txt.6	0m0,102s	unsat	Yes	mathSAT
/2/foobar.txt.6	0m0,102s	unsat	No	mathSAT

/2/foobar.txt.7	0m0,129s	unsat	Yes	Z3
/2/foobar.txt.7	0m0,118s	unsat	No	Z3
/2/foobar.txt.7	0m0,684s	unsat	Yes	cvc5
/2/foobar.txt.7	0m0,684s	unsat	No	cvc5
/2/foobar.txt.7	0m0,250s	unsat	Yes	mathSAT
/2/foobar.txt.7	0m0,251s	unsat	No	mathSAT

/2/foobar.txt.8	0m0,388s	unsat	Yes	Z3
/2/foobar.txt.8	0m0,223s	unsat	No	Z3
/2/foobar.txt.8	0m0,960s	unsat	Yes	cvc5
/2/foobar.txt.8	0m0,983s	unsat	No	cvc5
/2/foobar.txt.8	0m1,477s	unsat	Yes	mathSAT
/2/foobar.txt.8	0m1,485s	unsat	No	mathSAT

/2/foobar.txt.9	0m0,636s	unsat	Yes	Z3
/2/foobar.txt.9	0m0,462s	unsat	No	Z3
/2/foobar.txt.9	0m2,178s	unsat	Yes	cvc5
/2/foobar.txt.9	0m2,174s	unsat	No	cvc5
/2/foobar.txt.9	0m1,932s	unsat	Yes	mathSAT
/2/foobar.txt.9	0m1,946s	unsat	No	mathSAT

/3/foobar.txt.0	0m0,028s	unsat	Yes	Z3
/3/foobar.txt.0	0m0,016s	unsat	No	Z3
/3/foobar.txt.0	0m0,007s	unsat	Yes	cvc5
/3/foobar.txt.0	0m0,006s	unsat	No	cvc5
/3/foobar.txt.0	0m0,007s	unsat	Yes	mathSAT
/3/foobar.txt.0	0m0,009s	unsat	No	mathSAT

/3/foobar.txt.1	0m0,040s	unsat	Yes	Z3
/3/foobar.txt.1	0m0,021s	unsat	No	Z3
/3/foobar.txt.1	0m0,014s	unsat	Yes	cvc5
/3/foobar.txt.1	0m0,011s	unsat	No	cvc5
/3/foobar.txt.1	0m0,006s	unsat	Yes	mathSAT
/3/foobar.txt.1	0m0,011s	unsat	No	mathSAT

/3/foobar.txt.10	0m0,905s	unsat	Yes	Z3
/3/foobar.txt.10	0m0,856s	unsat	No	Z3
/3/foobar.txt.10	0m5,831s	unsat	Yes	cvc5
/3/foobar.txt.10	0m5,865s	unsat	No	cvc5
/3/foobar.txt.10	0m1,523s	unsat	Yes	mathSAT
/3/foobar.txt.10	0m1,526s	unsat	No	mathSAT

/3/foobar.txt.11	0m4,596s	unsat	Yes	Z3
/3/foobar.txt.11	0m4,474s	unsat	No	Z3
/3/foobar.txt.11	0m14,101s	unsat	Yes	cvc5
/3/foobar.txt.11	0m14,309s	unsat	No	cvc5
/3/foobar.txt.11	0m13,143s	unsat	Yes	mathSAT
/3/foobar.txt.11	0m13,200s	unsat	No	mathSAT

/3/foobar.txt.12	0m15,519s	unsat	Yes	Z3
/3/foobar.txt.12	0m15,664s	unsat	No	Z3
/3/foobar.txt.12	0m21,505s	unsat	Yes	cvc5
/3/foobar.txt.12	0m21,130s	unsat	No	cvc5
/3/foobar.txt.12	0m34,607s	unsat	Yes	mathSAT
/3/foobar.txt.12	0m34,267s	unsat	No	mathSAT

/3/foobar.txt.13	0m11,412s	unsat	Yes	Z3
/3/foobar.txt.13	0m11,224s	unsat	No	Z3
/3/foobar.txt.13	0m46,955s	unsat	Yes	cvc5
/3/foobar.txt.13	0m46,402s	unsat	No	cvc5
/3/foobar.txt.13	3m17,795s	unsat	Yes	mathSAT
/3/foobar.txt.13	3m17,308s	unsat	No	mathSAT

/3/foobar.txt.14	0m16,731s	unsat	Yes	Z3
/3/foobar.txt.14	0m16,469s	unsat	No	Z3
/3/foobar.txt.14	1m7,051s	unsat	Yes	cvc5
/3/foobar.txt.14	1m6,861s	unsat	No	cvc5
/3/foobar.txt.14	4m40,264s	unsat	Yes	mathSAT
/3/foobar.txt.14	4m41,227s	unsat	No	mathSAT

/3/foobar.txt.2	0m0,203s	unsat	Yes	Z3
/3/foobar.txt.2	0m0,023s	unsat	No	Z3
/3/foobar.txt.2	0m0,020s	unsat	Yes	cvc5
/3/foobar.txt.2	0m0,020s	unsat	No	cvc5
/3/foobar.txt.2	0m0,009s	unsat	Yes	mathSAT
/3/foobar.txt.2	0m0,011s	unsat	No	mathSAT

/3/foobar.txt.3	0m0,038s	unsat	Yes	Z3
/3/foobar.txt.3	0m0,025s	unsat	No	Z3
/3/foobar.txt.3	0m0,032s	unsat	Yes	cvc5
/3/foobar.txt.3	0m0,034s	unsat	No	cvc5
/3/foobar.txt.3	0m0,018s	unsat	Yes	mathSAT
/3/foobar.txt.3	0m0,024s	unsat	No	mathSAT

/3/foobar.txt.4	0m0,042s	unsat	Yes	Z3
/3/foobar.txt.4	0m0,028s	unsat	No	Z3
/3/foobar.txt.4	0m0,053s	unsat	Yes	cvc5
/3/foobar.txt.4	0m0,052s	unsat	No	cvc5
/3/foobar.txt.4	0m0,024s	unsat	Yes	mathSAT
/3/foobar.txt.4	0m0,026s	unsat	No	mathSAT

/3/foobar.txt.5	0m0,065s	unsat	Yes	Z3
/3/foobar.txt.5	0m0,035s	unsat	No	Z3
/3/foobar.txt.5	0m0,075s	unsat	Yes	cvc5
/3/foobar.txt.5	0m0,074s	unsat	No	cvc5
/3/foobar.txt.5	0m0,047s	unsat	Yes	mathSAT
/3/foobar.txt.5	0m0,049s	unsat	No	mathSAT

/3/foobar.txt.6	0m0,063s	unsat	Yes	Z3
/3/foobar.txt.6	0m0,052s	unsat	No	Z3
/3/foobar.txt.6	0m0,205s	unsat	Yes	cvc5
/3/foobar.txt.6	0m0,205s	unsat	No	cvc5
