File	Time	Result	Ackermann	Solver
/2/foobar.txt.10	0m0,092s	unsat	Yes	Z3
/2/foobar.txt.10	0m0,062s	unsat	No	Z3
/2/foobar.txt.10	0m0,204s	unsat	Yes	cvc5
/2/foobar.txt.10	0m0,202s	unsat	No	cvc5
/2/foobar.txt.10	0m0,084s	unsat	Yes	mathSAT
/2/foobar.txt.10	0m0,082s	unsat	No	mathSAT

/2/foobar.txt.11	0m0,083s	unsat	Yes	Z3
/2/foobar.txt.11	0m0,073s	unsat	No	Z3
/2/foobar.txt.11	0m0,358s	unsat	Yes	cvc5
/2/foobar.txt.11	0m0,363s	unsat	No	cvc5
/2/foobar.txt.11	0m0,115s	unsat	Yes	mathSAT
/2/foobar.txt.11	0m0,115s	unsat	No	mathSAT

/2/foobar.txt.12	0m0,103s	unsat	Yes	Z3
/2/foobar.txt.12	0m0,088s	unsat	No	Z3
/2/foobar.txt.12	0m0,495s	unsat	Yes	cvc5
/2/foobar.txt.12	0m0,497s	unsat	No	cvc5
/2/foobar.txt.12	0m0,191s	unsat	Yes	mathSAT
/2/foobar.txt.12	0m0,190s	unsat	No	mathSAT

/2/foobar.txt.13	0m0,209s	unsat	Yes	Z3
/2/foobar.txt.13	0m0,195s	unsat	No	Z3
/2/foobar.txt.13	0m1,272s	unsat	Yes	cvc5
/2/foobar.txt.13	0m1,289s	unsat	No	cvc5
/2/foobar.txt.13	0m0,353s	unsat	Yes	mathSAT
/2/foobar.txt.13	0m0,360s	unsat	No	mathSAT

/2/foobar.txt.14	0m0,672s	unsat	Yes	Z3
/2/foobar.txt.14	0m0,514s	unsat	No	Z3
/2/foobar.txt.14	0m3,304s	unsat	Yes	cvc5
/2/foobar.txt.14	0m3,318s	unsat	No	cvc5
/2/foobar.txt.14	0m1,230s	unsat	Yes	mathSAT
/2/foobar.txt.14	0m1,220s	unsat	No	mathSAT

/2/foobar.txt.15	0m0,220s	sat	Yes	Z3
/2/foobar.txt.15	0m0,058s	sat	No	Z3
/2/foobar.txt.15	0m0,874s	sat	Yes	cvc5
/2/foobar.txt.15	0m0,874s	sat	No	cvc5
/2/foobar.txt.15	0m0,203s	sat	Yes	mathSAT
