File	Result	Solver	Time	Ackermann
/2/foobar.txt.4	0m0,635s	Z3	unsat	Yes
/2/foobar.txt.4	0m0,610s	Z3	unsat	No
/2/foobar.txt.4	0m2,519s	cvc5	unsat	Yes
/2/foobar.txt.4	0m2,456s	cvc5	unsat	No
/2/foobar.txt.4	0m0,606s	mathSAT	unsat	Yes
/2/foobar.txt.4	0m0,645s	mathSAT	unsat	No

/2/foobar.txt.5	0m1,194s	Z3	unsat	Yes
/2/foobar.txt.5	0m0,970s	Z3	unsat	No
/2/foobar.txt.5	0m4,270s	cvc5	unsat	Yes
/2/foobar.txt.5	0m4,244s	cvc5	unsat	No
/2/foobar.txt.5	0m1,189s	mathSAT	unsat	Yes
/2/foobar.txt.5	0m1,185s	mathSAT	unsat	No

/2/foobar.txt.6	0m1,440s	Z3	unsat	Yes
/2/foobar.txt.6	0m1,291s	Z3	unsat	No
/2/foobar.txt.6	0m8,044s	cvc5	unsat	Yes
/2/foobar.txt.6	0m8,039s	cvc5	unsat	No
/2/foobar.txt.6	0m2,220s	mathSAT	unsat	Yes
/2/foobar.txt.6	0m2,024s	mathSAT	unsat	No

/2/foobar.txt.7	0m2,461s	Z3	unsat	Yes
/2/foobar.txt.7	0m2,077s	Z3	unsat	No
/2/foobar.txt.7	0m35,182s	cvc5	unsat	Yes
/2/foobar.txt.7	0m36,794s	cvc5	unsat	No
/2/foobar.txt.7	0m3,980s	mathSAT	unsat	Yes
/2/foobar.txt.7	0m4,132s	mathSAT	unsat	No

/2/foobar.txt.8	0m3,325s	Z3	unsat	Yes
/2/foobar.txt.8	0m3,016s	Z3	unsat	No
/2/foobar.txt.8	2m1,732s	cvc5	unsat	Yes
/2/foobar.txt.8	2m1,562s	cvc5	unsat	No
/2/foobar.txt.8	0m7,096s	mathSAT	unsat	Yes
/2/foobar.txt.8	0m7,130s	mathSAT	unsat	No

/2/foobar.txt.9	0m8,455s	Z3	unsat	Yes
/2/foobar.txt.9	0m8,148s	Z3	unsat	No
/2/foobar.txt.9	1m36,329s	cvc5	unsat	Yes
/2/foobar.txt.9	1m40,778s	cvc5	unsat	No
/2/foobar.txt.9	0m11,747s	mathSAT	unsat	Yes
/2/foobar.txt.9	0m11,360s	mathSAT	unsat	No

/3/foobar.txt.0	0m0,072s	Z3	unsat	Yes
/3/foobar.txt.0	0m0,056s	Z3	unsat	No
/3/foobar.txt.0	0m0,115s	cvc5	unsat	Yes
/3/foobar.txt.0	0m0,115s	cvc5	unsat	No
/3/foobar.txt.0	0m0,102s	mathSAT	unsat	Yes
/3/foobar.txt.0	0m0,106s	mathSAT	unsat	No

/3/foobar.txt.1	0m0,096s	Z3	unsat	Yes
/3/foobar.txt.1	0m0,089s	Z3	unsat	No
/3/foobar.txt.1	0m0,138s	cvc5	unsat	Yes
/3/foobar.txt.1	0m0,137s	cvc5	unsat	No
/3/foobar.txt.1	0m0,101s	mathSAT	unsat	Yes
/3/foobar.txt.1	0m0,104s	mathSAT	unsat	No

/3/foobar.txt.10	0m53,154s	Z3	unsat	Yes
/3/foobar.txt.10	0m53,192s	Z3	unsat	No
/3/foobar.txt.10	6m20,225s	cvc5	unsat	Yes
/3/foobar.txt.10	6m34,203s	cvc5	unsat	No
/3/foobar.txt.10	0m38,276s	mathSAT	unsat	Yes
