File	Result	Solver	Time	Ackermann
/D2/foobar.txt.9	0m16,073s	cvc5	unsat	No
/D2/foobar.txt.9	0m6,142s	mathSAT	unsat	Yes
/D2/foobar.txt.9	0m6,410s	mathSAT	unsat	No

/D3/foobar.txt.0	0m0,022s	Z3	unsat	Yes
/D3/foobar.txt.0	0m0,024s	Z3	unsat	No
/D3/foobar.txt.0	0m0,029s	cvc5	unsat	Yes
/D3/foobar.txt.0	0m0,028s	cvc5	unsat	No
/D3/foobar.txt.0	0m0,030s	mathSAT	unsat	Yes
/D3/foobar.txt.0	0m0,026s	mathSAT	unsat	No

/D3/foobar.txt.1	0m0,038s	Z3	unsat	Yes
/D3/foobar.txt.1	0m0,042s	Z3	unsat	No
/D3/foobar.txt.1	0m0,084s	cvc5	unsat	Yes
/D3/foobar.txt.1	0m0,078s	cvc5	unsat	No
/D3/foobar.txt.1	0m0,027s	mathSAT	unsat	Yes
/D3/foobar.txt.1	0m0,027s	mathSAT	unsat	No

/D3/foobar.txt.10	0m8,664s	Z3	unsat	Yes
/D3/foobar.txt.10	0m8,664s	Z3	unsat	No
/D3/foobar.txt.10	0m27,420s	cvc5	unsat	Yes
/D3/foobar.txt.10	0m27,314s	cvc5	unsat	No
/D3/foobar.txt.10	0m6,388s	mathSAT	unsat	Yes
/D3/foobar.txt.10	0m6,179s	mathSAT	unsat	No

/D3/foobar.txt.11	0m56,395s	Z3	unsat	Yes
/D3/foobar.txt.11	0m56,949s	Z3	unsat	No
/D3/foobar.txt.11	1m6,142s	cvc5	unsat	Yes
/D3/foobar.txt.11	1m5,500s	cvc5	unsat	No
/D3/foobar.txt.11	0m31,176s	mathSAT	unsat	Yes
/D3/foobar.txt.11	0m31,045s	mathSAT	unsat	No

/D3/foobar.txt.2	0m0,067s	Z3	unsat	Yes
/D3/foobar.txt.2	0m0,063s	Z3	unsat	No
/D3/foobar.txt.2	0m0,159s	cvc5	unsat	Yes
/D3/foobar.txt.2	0m0,157s	cvc5	unsat	No
/D3/foobar.txt.2	0m0,051s	mathSAT	unsat	Yes
/D3/foobar.txt.2	0m0,051s	mathSAT	unsat	No

/D3/foobar.txt.3	0m0,108s	Z3	unsat	Yes
/D3/foobar.txt.3	0m0,105s	Z3	unsat	No
/D3/foobar.txt.3	0m0,411s	cvc5	unsat	Yes
/D3/foobar.txt.3	0m0,412s	cvc5	unsat	No
/D3/foobar.txt.3	0m0,119s	mathSAT	unsat	Yes
/D3/foobar.txt.3	0m0,121s	mathSAT	unsat	No

/D3/foobar.txt.4	0m0,173s	Z3	unsat	Yes
/D3/foobar.txt.4	0m0,172s	Z3	unsat	No
/D3/foobar.txt.4	0m0,600s	cvc5	unsat	Yes
/D3/foobar.txt.4	0m0,600s	cvc5	unsat	No
/D3/foobar.txt.4	0m0,218s	mathSAT	unsat	Yes
/D3/foobar.txt.4	0m0,219s	mathSAT	unsat	No

/D3/foobar.txt.5	0m0,230s	Z3	unsat	Yes
/D3/foobar.txt.5	0m0,226s	Z3	unsat	No
/D3/foobar.txt.5	0m0,837s	cvc5	unsat	Yes
/D3/foobar.txt.5	0m0,873s	cvc5	unsat	No
/D3/foobar.txt.5	0m0,476s	mathSAT	unsat	Yes
/D3/foobar.txt.5	0m0,471s	mathSAT	unsat	No

/D3/foobar.txt.6	0m0,375s	Z3	unsat	Yes
/D3/foobar.txt.6	0m0,364s	Z3	unsat	No
/D3/foobar.txt.6	0m2,003s	cvc5	unsat	Yes
/D3/foobar.txt.6	0m2,013s	cvc5	unsat	No
/D3/foobar.txt.6	0m0,643s	mathSAT	unsat	Yes
/D3/foobar.txt.6	0m0,637s	mathSAT	unsat	No

/D3/foobar.txt.7	0m0,753s	Z3	unsat	Yes
/D3/foobar.txt.7	0m0,757s	Z3	unsat	No
/D3/foobar.txt.7	0m2,681s	cvc5	unsat	Yes
/D3/foobar.txt.7	0m2,767s	cvc5	unsat	No
/D3/foobar.txt.7	0m0,981s	mathSAT	unsat	Yes
/D3/foobar.txt.7	0m0,977s	mathSAT	unsat	No

/D3/foobar.txt.8	0m1,088s	Z3	unsat	Yes
/D3/foobar.txt.8	0m1,107s	Z3	unsat	No
/D3/foobar.txt.8	0m5,470s	cvc5	unsat	Yes
/D3/foobar.txt.8	0m5,558s	cvc5	unsat	No
/D3/foobar.txt.8	0m1,726s	mathSAT	unsat	Yes
/D3/foobar.txt.8	0m1,714s	mathSAT	unsat	No

/D3/foobar.txt.9	0m3,134s	Z3	unsat	Yes
/D3/foobar.txt.9	0m3,341s	Z3	unsat	No
/D3/foobar.txt.9	0m10,380s	cvc5	unsat	Yes
/D3/foobar.txt.9	0m10,308s	cvc5	unsat	No
/D3/foobar.txt.9	0m2,747s	mathSAT	unsat	Yes
/D3/foobar.txt.9	0m2,781s	mathSAT	unsat	No

/D4/foobar.txt.0	0m0,022s	Z3	unsat	Yes
/D4/foobar.txt.0	0m0,023s	Z3	unsat	No
/D4/foobar.txt.0	0m0,028s	cvc5	unsat	Yes
/D4/foobar.txt.0	0m0,027s	cvc5	unsat	No
/D4/foobar.txt.0	0m0,027s	mathSAT	unsat	Yes
/D4/foobar.txt.0	0m0,027s	mathSAT	unsat	No

/D4/foobar.txt.1	0m0,043s	Z3	unsat	Yes
/D4/foobar.txt.1	0m0,041s	Z3	unsat	No
/D4/foobar.txt.1	0m0,083s	cvc5	unsat	Yes
/D4/foobar.txt.1	0m0,082s	cvc5	unsat	No
/D4/foobar.txt.1	0m0,029s	mathSAT	unsat	Yes
/D4/foobar.txt.1	0m0,028s	mathSAT	unsat	No

/D4/foobar.txt.10	0m4,482s	Z3	unsat	Yes
/D4/foobar.txt.10	0m4,442s	Z3	unsat	No
/D4/foobar.txt.10	0m14,430s	cvc5	unsat	Yes
/D4/foobar.txt.10	0m14,384s	cvc5	unsat	No
/D4/foobar.txt.10	0m4,907s	mathSAT	unsat	Yes
/D4/foobar.txt.10	0m4,941s	mathSAT	unsat	No

/D4/foobar.txt.11	0m29,142s	Z3	unsat	Yes
/D4/foobar.txt.11	0m29,547s	Z3	unsat	No
/D4/foobar.txt.11	0m49,982s	cvc5	unsat	Yes
/D4/foobar.txt.11	0m51,011s	cvc5	unsat	No
/D4/foobar.txt.11	0m17,327s	mathSAT	unsat	Yes
/D4/foobar.txt.11	0m17,343s	mathSAT	unsat	No

/D4/foobar.txt.12	2m36,795s	Z3	unsat	Yes
/D4/foobar.txt.12	2m36,267s	Z3	unsat	No
/D4/foobar.txt.12	3m8,881s	cvc5	unsat	Yes
/D4/foobar.txt.12	3m11,412s	cvc5	unsat	No
/D4/foobar.txt.12	1m6,459s	mathSAT	unsat	Yes
/D4/foobar.txt.12	1m4,044s	mathSAT	unsat	No

/D4/foobar.txt.2	0m0,070s	Z3	unsat	Yes
/D4/foobar.txt.2	0m0,066s	Z3	unsat	No
/D4/foobar.txt.2	0m0,165s	cvc5	unsat	Yes
/D4/foobar.txt.2	0m0,165s	cvc5	unsat	No
