File | Time | Result | Ackermann

foobar0.txt | 0m0,045s | unsat | Yes
foobar0.txt | 0m0,028s | unsat | No

foobar1.txt | 0m0,028s | unsat | Yes
foobar1.txt | 0m0,029s | unsat | No

foobar10.txt | 0m6,037s | unsat | Yes
foobar10.txt | 0m6,163s | unsat | No

foobar11.txt | 0m30,415s | unsat | Yes
foobar11.txt | 0m30,833s | unsat | No

foobar2.txt | 0m0,053s | unsat | Yes
foobar2.txt | 0m0,052s | unsat | No

foobar3.txt | 0m0,122s | unsat | Yes
foobar3.txt | 0m0,120s | unsat | No

foobar4.txt | 0m0,221s | unsat | Yes
foobar4.txt | 0m0,205s | unsat | No

foobar5.txt | 0m0,433s | unsat | Yes
foobar5.txt | 0m0,438s | unsat | No

foobar6.txt | 0m0,579s | unsat | Yes
foobar6.txt | 0m0,613s | unsat | No

foobar7.txt | 0m0,880s | unsat | Yes
foobar7.txt | 0m0,882s | unsat | No

foobar8.txt | 0m1,687s | unsat | Yes
foobar8.txt | 0m1,668s | unsat | No

foobar9.txt | 0m2,810s | unsat | Yes
foobar9.txt | 0m2,803s | unsat | No

